HaloID,SFR,GasDiskRad,StellarDiskRad,MassGas,MassDM,MassStars,MassBH,HaloRadCrit500,vDisk1,vDisk2,vDisk3
halo_1,4.285375,39.48630392551422,2.099019708111882,0.11384324,0.8013319,1.0280752,0.0041164807,87.22009509801865,-0.0906731454253734,0.8801917511760499,0.46587644484381013
halo_2,3.1098711,96.12545371055603,9.695840068161488,0.32654664,7.151756,3.19329,0.0064887297,116.25697463750839,-0.5303922600531988,0.04468461768719999,-0.8465738806612266
halo_3,5.068623,31.123977154493332,6.2851388938724995,0.28238913,5.618066,2.956007,0.008793938,112.12620139122009,-0.10885222531189111,0.9890714030135407,0.09944321387342361
halo_4,12.388382,64.9203285574913,5.584361497312784,0.7011694,3.2721477,2.9909399,0.0030394292,108.86277258396149,0.7839949514403015,-0.04672033060501937,0.6190065644436067
halo_5,6.381691,55.16534671187401,3.132176585495472,0.17608362,1.7662218,2.4143293,0.0113548525,103.17373275756836,0.4689039382999629,-0.878880951877359,-0.0877346515005994
halo_6,2.5138211,42.29750484228134,5.40946377441287,0.10659413,2.8705103,1.834764,0.0025331224,97.8270098567009,-0.4884255507611,0.1524766311333091,0.8591806319522997
halo_7,9.183533,49.88501965999603,4.688778426498175,0.32287046,2.462156,1.998377,0.004095962,100.28914362192154,-0.9660865334354621,-0.2516549669944552,0.05784969750717089
halo_8,1.500926,38.16722705960274,7.803322281688452,0.16980618,3.8738115,1.3440973,0.0010507526,99.1535484790802,0.7822289669704104,0.6202825120105459,-0.05802972105991585
halo_9,3.6211796,61.9235597550869,2.284388290718198,0.07661061,1.2765901,2.1329947,0.012039857,100.45720636844635,0.21303654377298686,0.7788521535074837,-0.5899192775236416
halo_10,7.232577,53.12854424118996,1.3811563840135932,0.12815954,0.7015173,2.101458,0.013078197,98.05424511432648,0.245796360269861,-0.9661680990718355,0.07812396312274973
halo_11,9.811241,62.89570778608322,3.358436282724142,0.43705043,1.6383027,2.1833825,0.0035488375,113.9204353094101,-0.6106020511348604,-0.7505621157007462,-0.25262946309708445
halo_12,8.945275,41.038282215595245,3.9276578463613987,0.28159326,2.1101441,2.2431738,0.005656845,101.99697315692902,0.9901955655091157,-0.1168505484765241,0.07654208885847046
halo_13,5.653066,89.34607356786728,2.005882328376174,0.25372076,1.1504264,2.2821884,0.007938554,100.18908977508545,-0.12794919161176158,0.1501096320350154,-0.9803550901261282
halo_14,10.271944,47.23748937249184,4.055691882967949,0.26400384,3.1935997,3.9752162,0.014680451,116.95512384176254,0.7031086601106968,0.6752468793465822,-0.22288980239132217
halo_15,5.7158,33.659014850854874,5.125064868479967,0.2465141,1.970315,1.4695693,0.0017107378,102.4833545088768,0.7276242852863298,0.6258171542321059,-0.28091954173817496
halo_16,3.3694487,32.07066282629967,9.146093390882015,0.33851257,6.0989165,2.3788903,0.0028208124,110.10338366031647,-0.5773748707845094,0.5676978564721243,-0.5868197358163121
halo_17,3.804255,48.34896698594093,1.3334568357095122,0.062984034,0.78262895,2.682661,0.017754503,99.91027414798737,0.17870176404408172,0.8624341844082499,0.473574658413655
halo_18,1.9045184,100.67857801914215,2.8858936857432127,0.056149654,1.9358472,2.8324878,0.009333619,104.3173223733902,-0.2966709393002261,-0.1567856536745043,0.9420215563226673
halo_19,4.9368405,47.08513990044594,5.093557294458151,0.20949744,2.4161646,2.0855556,0.003872721,104.4749841094017,-0.3596058485506435,0.7169602783036704,0.5972031421743318
halo_20,7.2366457,40.43950513005257,5.218951962888241,0.23563698,2.907395,1.8892158,0.0040005734,104.53733056783676,0.027150236955466922,-0.3081286930608443,0.9509571878617239
halo_21,7.567373,58.10020491480827,5.435138940811157,0.33701274,3.4480474,2.9365995,0.005164194,110.12865602970123,0.8566952551707292,0.27838212318990885,-0.434254111386683
halo_22,2.1150541,77.61485874652863,1.3869624817743897,0.042685226,0.6128504,2.1044967,0.017383518,96.16397321224213,-0.878038149761995,0.3935687691021848,-0.2723098080310801
halo_23,4.4092035,67.25693494081497,3.934829495847225,0.11583597,3.1337311,3.323093,0.010939478,113.78878355026245,0.16790887786384734,0.8699987020760308,-0.4635826432477013
halo_24,3.336045,73.53099435567856,5.198223982006311,0.09588417,2.8467112,2.6001503,0.010487753,110.63199490308762,0.4585589327148976,0.6647943830122903,0.5897220816136042
halo_25,2.2330673,47.34143242239952,6.291892379522324,0.26022607,3.1290221,1.2464187,0.001242978,101.96904093027115,0.5498730411838473,-0.8350725944103509,0.017128941706734672
halo_26,12.280845,81.31517469882965,1.591164618730545,0.5265314,1.1472218,3.8541439,0.018261045,114.66078460216522,-0.7782200981946559,-0.6117589632030115,-0.14186067004873743
halo_27,7.0928903,92.61464327573776,4.528877791017294,0.20930058,3.3676162,3.4892988,0.011384297,117.73839592933655,-0.694559544654595,-0.2553726449499891,-0.6725859433116695
halo_28,10.544293,80.73465526103973,2.344961278140545,0.32825106,1.5796626,3.728779,0.017040798,115.44139683246613,0.6603177297171146,0.05054249786615653,0.7492836256923577
halo_29,2.979381,90.05248546600342,4.525801632553339,0.24460715,3.6725037,3.5199509,0.01141537,114.1030341386795,0.0010772341176535003,0.07888650661125786,0.9968830215433141
halo_30,5.8264832,54.68818545341492,3.769143018871546,0.4567643,1.8658382,1.8351057,0.003558207,101.96909308433533,-0.9915900779296557,0.023282319669179707,-0.12730691631754087
